ISO;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;Estimates Start After
BDI;Burundi;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.951;0.989;1.045;1.106;1.005;1.170;1.233;1.161;1.088;1.131;1.131;1.167;1.082;0.938;0.924;1.000;0.868;0.972;0.893;0.866;0.870;0.877;0.825;0.785;0.915;1.117;1.273;1.356;1.612;1.775;2.032;2.236;2.333;2.456;2.706;3.104;2.960;3.172;3.037;2.968;3.011;3.244;3.446;3.658;3.878;4.084;4.296;2019
CPV;Cabo Verde;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.157;0.154;0.155;0.152;0.145;0.152;0.210;0.260;0.292;0.295;0.339;0.353;0.395;0.398;0.448;0.536;0.553;0.540;0.575;0.657;0.609;0.616;0.679;0.891;1.023;1.091;1.237;1.513;1.788;1.698;1.664;1.866;1.742;1.850;1.860;1.597;1.663;1.770;1.967;1.982;1.753;2.003;2.180;2.351;2.538;2.744;2.970;2019
KHM;Cambodia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;0.205;0.141;0.276;0.346;0.899;2.011;2.439;2.427;2.765;3.441;3.507;3.443;3.130;3.513;3.667;3.992;4.289;4.665;5.334;6.287;7.268;8.630;10.342;10.391;11.232;12.818;14.057;15.228;16.702;18.083;20.043;22.189;24.444;26.728;25.953;27.239;29.121;31.308;33.806;36.539;39.531;2019
CMR;Cameroon;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;8.193;9.281;8.901;8.972;9.482;9.903;12.909;14.952;15.184;13.539;13.553;15.112;13.851;14.451;9.833;9.326;10.393;10.509;10.495;10.695;9.802;10.377;11.588;14.558;17.440;17.974;19.374;22.397;26.514;26.094;26.191;29.370;29.121;32.358;34.999;30.932;32.635;34.997;38.712;38.863;39.020;44.893;48.074;51.286;55.101;59.193;63.645;2019
CAN;Canada;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;276.035;307.246;314.639;341.863;356.728;366.184;379.015;433.140;509.380;567.225;596.089;612.514;594.376;579.059;579.913;605.941;630.598;655.010;634.004;678.417;744.631;738.968;760.149;895.599;1,026.473;1,173.505;1,319.356;1,468.896;1,552.864;1,376.509;1,617.345;1,793.327;1,828.362;1,846.595;1,805.751;1,556.508;1,527.996;1,649.266;1,721.822;1,741.576;1,643.408;1,883.487;2,030.619;2,142.963;2,243.379;2,349.536;2,466.744;2020
CAF;Central African Republic;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.714;0.743;0.719;0.690;0.670;0.883;1.158;1.275;1.372;1.354;1.572;1.498;1.494;1.309;0.858;1.117;1.000;0.979;1.036;1.039;0.868;0.899;0.983;1.188;1.310;1.413;1.538;1.755;2.033;2.059;2.141;2.435;2.512;1.692;1.896;1.696;1.825;2.072;2.280;2.277;2.366;2.718;2.964;3.197;3.445;3.706;3.981;2017
TCD;Chad;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.738;0.873;0.844;0.844;0.907;0.983;1.211;1.372;1.604;1.515;1.826;1.809;1.886;1.648;1.335;1.636;1.819;1.748;1.975;1.739;1.572;1.936;2.257;3.102;5.003;6.676;7.451;8.687;10.430;9.315;10.701;12.183;12.411;12.994;14.003;10.952;10.202;10.079;11.036;10.934;10.742;12.531;13.269;13.983;14.961;16.009;17.031;2017
CHL;Chile;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;28.828;34.133;25.450;20.673;20.104;17.238;18.531;21.856;25.765;29.679;32.998;37.981;46.270;49.505;57.113;73.599;78.023;84.908;81.561;75.097;77.817;70.971;69.730;75.643;99.226;123.000;154.864;173.569;179.484;172.526;218.321;252.097;267.021;278.346;260.472;243.888;250.326;276.900;297.436;279.270;252.756;307.938;327.900;344.806;361.682;379.171;398.630;2020
CHN;China;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;303.027;288.734;284.608;305.426;314.224;310.151;300.924;327.719;408.652;458.167;396.580;413.217;492.155;617.429;561.687;731.018;860.476;957.993;1,024.172;1,088.335;1,205.519;1,333.665;1,465.837;1,656.954;1,949.492;2,290.094;2,754.113;3,555.679;4,577.397;5,088.993;6,033.813;7,492.257;8,539.472;9,625.044;10,524.211;11,113.528;11,227.075;12,265.317;13,841.901;14,340.600;14,722.837;16,642.318;18,013.395;19,423.482;20,910.471;22,481.433;24,127.830;2020
COL;Colombia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;46.482;50.640;54.230;53.898;53.235;48.561;48.628;50.619;54.570;55.026;56.048;57.931;68.551;77.689;97.625;110.518;116.083;127.438;117.677;103.090;99.229;97.566;97.313;94.033;116.335;145.600;161.793;206.230;242.504;232.469;286.499;334.966;370.692;382.094;381.240;293.492;282.720;311.889;334.124;323.375;271.463;295.610;313.438;333.249;354.100;376.616;399.941;2020
COM;Comoros;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.242;0.212;0.201;0.195;0.188;0.191;0.257;0.312;0.336;0.328;0.401;0.400;0.436;0.427;0.314;0.392;0.392;0.362;0.363;0.372;0.339;0.373;0.427;0.547;0.622;0.656;0.689;0.796;0.916;0.904;0.909;1.023;1.016;1.116;1.150;0.966;1.013;1.077;1.179;1.190;1.222;1.309;1.390;1.464;1.546;1.631;1.725;2018
COD;Democratic Republic of the Congo;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;68.606;59.726;64.939;52.378;34.951;31.943;35.840;33.932;39.314;40.006;41.448;40.250;36.333;47.450;25.746;25.021;32.099;28.819;21.089;19.147;19.077;7.246;8.720;9.022;10.275;12.069;14.376;16.778;19.548;18.495;21.541;25.853;29.350;32.695;35.911;37.915;36.640;37.615;47.099;50.418;49.077;55.088;58.170;61.675;66.059;70.363;74.833;2019
COG;Republic of Congo;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;2.165;1.775;1.548;1.407;1.294;1.327;1.815;2.205;2.346;2.478;2.909;3.035;3.280;3.004;2.068;2.457;2.840;2.568;2.240;2.646;3.624;3.038;3.330;3.863;5.101;6.654;8.073;8.784;11.649;9.713;13.159;15.653;17.704;17.959;17.918;11.891;10.159;11.110;13.402;12.542;10.232;12.022;12.366;13.246;13.753;14.398;14.844;2018
CRI;Costa Rica;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;4.854;2.636;2.619;3.162;3.678;3.941;4.425;4.554;4.636;5.250;5.737;7.197;8.566;9.586;10.489;11.578;11.683;12.618;13.688;14.259;15.016;15.979;16.584;17.277;18.615;20.049;22.717;26.885;30.802;30.746;37.656;42.762;47.231;50.949;52.017;56.442;58.847;60.517;62.338;63.946;61.450;61.178;64.503;67.910;71.604;75.671;80.381;2019
CIV;Côte d'Ivoire;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;13.877;11.501;10.320;9.312;9.284;9.470;12.675;13.944;14.092;13.487;14.923;14.504;15.416;15.268;11.492;15.205;16.780;16.203;17.433;17.114;14.851;15.485;17.147;21.205;22.924;23.625;24.628;28.158;33.621;33.693;34.431;35.529;37.030;43.228;48.882;45.815;47.964;51.588;58.011;58.539;61.402;70.991;77.334;83.564;90.214;97.251;104.696;2017
HRV;Croatia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;12.168;12.885;17.237;22.243;23.449;23.819;25.182;23.223;21.634;23.055;26.814;34.682;41.587;45.377;50.423;60.073;70.234;62.600;59.919;62.538;56.581;58.194;57.640;49.526;51.601;55.482;61.375;60.759;56.925;65.217;70.661;75.882;80.985;87.253;91.957;2019
CYP;Cyprus;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;2.314;2.242;2.319;2.321;2.447;2.611;3.317;3.979;4.589;4.901;6.003;6.195;7.424;7.098;8.004;9.937;10.016;9.544;10.251;10.502;9.988;10.397;11.422;14.552;17.328;18.713;20.422;24.082;27.955;26.020;25.753;27.560;24.993;23.900;23.162;19.844;20.947;22.721;25.322;24.953;23.967;26.479;28.297;29.788;31.284;32.819;34.510;2020
CZE;Czech Republic;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;60.139;67.388;62.171;66.782;65.173;61.823;67.809;82.184;100.125;119.815;137.143;156.264;189.988;237.131;207.558;209.070;229.563;208.858;211.686;209.359;188.033;196.272;218.629;248.950;250.686;241.455;276.109;297.029;314.258;330.861;346.676;361.675;2019
