ISO;Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;Estimates Start After
DNK;Denmark;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;71.127;61.878;60.413;60.645;59.105;62.658;88.079;109.414;115.552;112.410;138.248;139.226;152.915;143.195;156.164;185.008;187.633;173.539;176.991;177.964;164.158;164.791;178.635;218.097;251.375;264.467;282.886;319.424;353.359;321.243;321.995;344.003;327.149;343.584;352.994;302.673;313.116;332.121;356.880;350.104;352.243;392.570;411.248;428.860;447.919;468.522;490.577;2019
DJI;Djibouti;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.649;0.671;0.654;0.690;0.699;0.693;0.706;0.722;0.759;0.780;0.811;0.837;0.881;0.935;0.995;1.079;1.190;1.381;1.425;1.542;1.739;1.900;2.043;2.216;2.445;2.619;2.767;3.013;3.346;3.408;3.663;3.944;4.264;4.610;4.984;5.389;2018
DMA;Dominica;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.073;0.082;0.090;0.099;0.109;0.119;0.135;0.152;0.171;0.185;0.201;0.220;0.234;0.246;0.264;0.275;0.292;0.303;0.322;0.332;0.333;0.340;0.333;0.343;0.367;0.364;0.390;0.421;0.458;0.489;0.494;0.501;0.486;0.502;0.524;0.541;0.575;0.522;0.530;0.579;0.517;0.523;0.565;0.599;0.629;0.656;0.680;2018
DOM;Dominican Republic;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;8.672;9.698;9.141;9.461;14.870;6.496;7.891;8.305;7.605;8.589;7.995;9.887;11.605;13.081;14.645;16.637;18.242;20.017;21.672;22.137;24.306;25.602;27.249;21.518;22.506;35.948;37.998;44.067;48.206;48.319;53.921;58.088;60.747;62.758;67.264;71.254;75.777;80.082;85.630;89.032;78.731;83.917;90.050;96.660;103.623;111.179;119.319;2019
ECU;Ecuador;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;16.840;17.243;17.214;15.129;16.101;18.830;13.816;12.910;12.277;12.049;12.236;13.730;15.012;17.537;21.147;22.968;24.035;27.009;27.474;19.740;18.319;24.468;28.549;32.433;36.592;41.507;46.802;51.008;61.763;62.520;69.555;79.277;87.925;95.130;101.726;99.290;99.938;104.296;107.562;108.108;96.665;100.595;103.874;106.806;110.131;113.905;118.046;2019
EGY;Egypt;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;23.523;25.760;30.479;37.254;41.888;48.841;54.076;77.359;92.530;115.362;96.087;48.431;44.168;49.526;54.550;63.250;71.118;79.777;89.189;95.039;104.752;102.273;90.261;85.163;82.855;94.127;112.902;137.055;170.797;198.316;230.024;247.726;278.769;288.007;305.567;332.075;332.484;236.528;250.253;302.335;361.847;394.284;429.573;465.080;496.613;538.339;602.683;2020
SLV;El Salvador;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;3.912;3.449;3.406;3.261;2.385;2.319;2.335;2.374;2.771;3.167;4.818;5.252;5.813;6.680;7.679;8.922;9.586;10.222;10.937;11.284;11.785;12.283;12.664;13.244;13.725;14.698;16.000;17.012;17.987;17.602;18.448;20.284;21.386;21.991;22.593;23.438;24.191;24.979;26.117;27.023;24.609;26.277;27.474;28.581;29.630;30.597;31.564;2019
GNQ;Equatorial Guinea;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.032;0.030;0.035;0.040;0.044;0.074;0.091;0.111;0.119;0.105;0.133;0.132;0.160;0.162;0.120;0.169;0.276;0.526;0.440;0.738;1.159;1.674;2.071;3.768;5.954;8.187;10.095;13.089;19.830;15.088;16.314;21.357;22.388;21.949;21.765;13.185;11.241;12.201;13.278;11.025;9.524;11.726;11.363;11.530;11.805;11.951;12.260;2017
ERI;Eritrea;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.606;0.374;0.433;0.483;0.579;0.594;0.626;0.614;0.547;0.582;0.564;0.673;0.858;0.850;0.937;1.020;0.923;1.297;1.590;2.065;2.255;1.958;2.604;2.016;2.213;1.904;2.006;1.982;2.086;2.250;2.418;2.559;2.708;2.868;3.038;2018
EST;Estonia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.788;2.505;3.905;4.779;5.153;5.670;5.777;5.714;6.274;7.396;9.895;12.157;14.117;17.036;22.473;24.463;19.804;19.730;23.421;23.206;25.279;26.816;23.060;24.269;26.942;30.645;31.475;31.005;35.187;38.240;40.677;43.177;45.628;48.185;2020
SWZ;Eswatini;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.754;0.798;0.714;0.734;0.628;0.497;0.635;0.831;0.986;1.006;1.237;1.285;1.425;1.497;1.621;1.932;1.830;1.957;1.797;1.764;1.739;1.544;1.436;2.198;2.774;3.177;3.293;3.465;3.298;3.596;4.438;4.826;4.887;4.600;4.426;4.061;3.815;4.407;4.666;4.471;3.949;4.226;4.367;4.503;4.695;4.902;5.359;2019
ETH;Ethiopia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;7.385;7.578;7.973;8.863;8.375;9.808;10.188;10.890;11.285;11.872;12.595;13.928;14.696;9.143;8.135;7.887;8.794;8.621;7.815;7.515;8.167;8.103;7.828;8.604;10.122;12.387;15.310;19.329;26.250;28.672;26.887;30.480;42.221;46.544;54.165;63.081;72.120;76.841;80.207;92.608;96.611;93.966;92.907;101.965;113.619;125.510;138.804;2020
FJI;Fiji;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;1.303;1.339;1.293;1.217;1.276;1.236;1.398;1.276;1.202;1.281;1.448;1.500;1.659;1.772;1.977;2.134;2.307;2.268;1.795;2.104;1.824;1.798;1.996;2.509;2.954;3.257;3.361;3.688;3.816;3.106;3.402;4.094;4.303;4.539;4.857;4.682;4.930;5.353;5.581;5.497;4.316;4.586;5.124;5.593;6.008;6.386;6.762;2019
FIN;Finland;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;53.714;52.620;53.111;51.056;53.032;56.223;73.652;91.775;109.255;119.106;141.718;128.194;113.134;89.279;103.739;134.339;132.183;127.076;134.212;135.398;126.075;129.534;140.305;171.609;197.390;204.999;217.101;256.408;285.685;253.222;249.628;275.556;258.454;271.366;274.934;234.558;240.705;255.558;276.112;268.996;270.637;300.484;317.341;328.661;339.105;349.485;360.002;2019
FRA;France;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;702.243;618.954;588.015;562.499;532.339;557.561;772.838;935.117;1,020.878;1,026.179;1,272.433;1,273.594;1,404.391;1,324.236;1,396.653;1,602.130;1,606.035;1,454.555;1,505.184;1,494.634;1,366.243;1,377.667;1,500.348;1,844.083;2,118.671;2,198.160;2,320.659;2,660.905;2,929.983;2,697.955;2,647.348;2,864.653;2,685.371;2,811.918;2,856.701;2,439.436;2,472.282;2,594.235;2,791.163;2,717.204;2,598.907;2,938.271;3,138.871;3,242.496;3,342.407;3,442.448;3,538.695;2020
GAB;Gabon;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;4.559;4.111;3.853;3.689;3.547;3.736;4.889;3.699;4.079;4.458;6.339;5.754;5.955;5.757;4.463;5.281;6.064;5.673;4.774;4.966;5.397;5.023;5.332;6.510;7.767;9.468;10.164;12.457;15.570;12.188;14.384;18.207;17.181;17.596;18.209;14.385;14.020;14.924;16.875;16.875;15.642;18.362;18.768;19.278;19.952;20.873;22.100;2019
GMB;The Gambia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.606;0.579;0.548;0.551;0.396;0.482;0.376;0.504;0.585;0.614;0.721;0.760;0.820;0.878;0.870;0.909;0.949;0.983;1.009;1.036;1.010;1.002;0.887;0.843;0.962;1.028;1.054;1.280;1.562;1.450;1.543;1.410;1.415;1.376;1.229;1.355;1.470;1.498;1.662;1.818;1.913;2.078;2.264;2.471;2.686;2.919;3.173;2018
GEO;Georgia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.850;1.961;3.149;3.609;3.708;2.884;3.143;3.309;3.491;4.103;5.270;6.591;7.963;10.459;13.154;11.069;12.243;15.107;16.489;17.190;17.627;14.953;15.141;16.242;17.599;17.477;15.733;16.163;18.000;19.643;21.319;23.143;25.078;2019
DEU;Germany;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;853.705;718.264;693.547;691.912;651.900;661.037;944.124;1,174.861;1,266.623;1,257.393;1,598.640;1,875.618;2,136.312;2,072.457;2,209.934;2,588.002;2,498.113;2,214.694;2,242.065;2,197.125;1,948.843;1,945.804;2,077.016;2,501.014;2,813.076;2,848.438;2,994.862;3,425.982;3,744.854;3,407.557;3,402.444;3,748.655;3,529.377;3,733.859;3,890.095;3,357.926;3,468.896;3,681.303;3,965.565;3,861.550;3,803.014;4,319.286;4,598.116;4,757.650;4,923.011;5,084.347;5,253.101;2020
GHA;Ghana;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;38.219;61.792;72.038;48.515;17.332;15.379;14.228;11.932;12.678;12.897;14.898;16.673;16.485;13.383;12.303;14.544;15.458;15.786;17.153;17.756;11.467;12.227;14.200;17.494;20.244;24.521;28.785;33.942;38.414;34.254;43.043;53.645;56.505;63.279;53.173;48.595;54.989;58.978;65.518;66.998;68.418;74.260;79.737;84.593;90.127;96.301;103.125;2019
GRC;Greece;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;56.529;52.161;54.415;49.184;47.922;47.532;55.945;65.129;75.803;78.582;97.137;104.742;115.484;108.103;115.694;135.786;144.642;142.117;143.424;148.151;131.082;135.160;153.152;200.613;238.823;245.920;271.254;316.250;352.866;328.156;297.368;282.946;242.193;238.555;235.669;195.416;192.810;200.055;212.346;205.349;189.259;209.857;224.819;232.676;240.065;247.917;255.831;2020
GRD;Grenada;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.111;0.116;0.125;0.132;0.146;0.168;0.188;0.215;0.236;0.267;0.278;0.301;0.310;0.310;0.325;0.342;0.367;0.392;0.446;0.482;0.520;0.520;0.540;0.591;0.599;0.695;0.699;0.759;0.826;0.771;0.771;0.779;0.800;0.843;0.911;0.997;1.062;1.126;1.169;1.205;1.037;1.041;1.116;1.197;1.266;1.327;1.392;2019
GTM;Guatemala;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;7.718;8.431;8.539;8.864;9.276;10.951;5.921;6.857;7.426;8.561;7.493;9.161;10.150;11.032;12.501;14.040;14.993;16.981;18.441;17.391;18.124;19.736;21.924;23.092;24.977;28.179;31.308;35.028;40.242;37.996;41.492;47.419;49.902;52.989;57.835;62.180;66.034;71.583;73.121;76.694;77.073;81.402;84.901;89.345;95.329;101.753;108.621;2019
GIN;Guinea;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;2.400;2.381;2.335;2.284;2.327;2.473;2.675;2.840;3.317;3.384;3.710;4.195;4.570;4.562;4.707;5.139;5.316;5.212;5.003;4.798;4.039;3.806;4.022;4.759;5.054;4.506;4.178;6.317;6.966;6.753;6.858;6.034;7.304;8.374;8.790;8.790;8.604;10.337;12.181;13.797;15.455;16.339;17.428;18.631;19.893;21.261;22.731;2018
GNB;Guinea-Bissau;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.289;0.370;0.421;0.475;0.330;0.485;0.474;0.401;0.374;0.449;0.548;0.772;0.846;0.653;0.361;0.778;0.741;0.704;0.592;0.580;0.392;0.413;0.466;0.553;0.582;0.640;0.635;0.753;0.953;0.889;0.941;1.157;1.050;1.110;1.136;1.153;1.245;1.469;1.506;1.440;1.434;1.647;1.783;1.929;2.086;2.252;2.430;2018
GUY;Guyana;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.842;0.808;0.692;0.703;0.654;0.697;0.789;0.728;0.828;0.832;0.685;0.744;0.823;1.003;1.176;1.332;1.495;1.587;1.500;1.488;1.497;1.504;1.555;1.592;1.657;1.712;1.899;2.225;2.491;2.596;2.889;3.328;4.063;4.168;4.128;4.280;4.483;4.748;4.788;5.174;5.766;7.255;9.079;10.881;11.338;11.918;12.569;2019
HTI;Haiti;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;2.685;2.956;3.074;3.300;3.656;4.060;4.511;2.223;1.461;1.351;1.720;1.542;0.926;1.115;3.079;4.885;5.041;5.794;6.460;7.206;6.865;6.318;6.112;5.041;6.006;7.052;7.398;9.316;10.389;11.271;11.655;13.009;13.709;14.500;14.789;14.856;13.732;14.214;15.965;14.334;14.286;22.431;22.644;23.677;24.612;25.587;26.566;2019
HND;Honduras;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;3.508;3.855;3.970;4.207;4.538;4.976;5.207;5.678;6.324;7.065;4.169;4.195;4.675;4.794;4.693;5.415;5.217;5.736;6.366;6.417;7.104;7.566;7.775;8.140;8.772;9.672;10.842;12.275;13.790;14.486;15.730;17.650;18.527;18.497;19.755;20.978;21.714;23.137;23.857;24.921;23.691;26.161;27.561;29.092;30.793;32.639;34.669;2019
HKG;Hong Kong SAR;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;28.862;31.055;32.291;29.907;33.511;35.700;41.076;50.623;59.708;68.790;76.929;88.960;104.272;120.354;135.812;144.652;159.718;177.349;168.858;165.734;171.643;169.381;166.336;161.370;169.085;181.556;193.515;211.583;219.279;214.048;228.639;248.514;262.629;275.697;291.460;309.386;320.840;341.242;361.692;365.708;349.445;368.633;388.800;409.034;430.528;453.573;478.104;2020
HUN;Hungary;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;23.042;23.629;24.064;21.839;21.174;21.441;24.698;27.144;29.703;30.323;34.366;34.754;38.731;40.125;43.167;46.426;46.659;47.297;48.707;49.073;47.218;53.750;67.609;85.302;103.960;112.981;115.577;139.966;158.136;130.760;131.917;141.760;128.475;135.412;140.765;125.074;128.471;142.962;160.419;163.459;154.562;176.543;194.141;207.011;219.239;230.536;242.339;2020
ISL;Iceland;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;3.434;3.544;3.253;2.795;2.894;3.012;4.017;5.566;6.149;5.705;6.510;6.955;7.112;6.232;6.399;7.131;7.480;7.570;8.504;8.982;9.026;8.235;9.318;11.429;13.825;16.853;17.465;21.653;18.075;13.154;13.751;15.222;14.752;16.125;17.868;17.517;20.793;24.728;26.224;24.837;21.715;24.155;25.159;25.823;27.014;28.431;29.956;2018
IND;India;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;189.438;196.535;203.537;222.049;215.556;237.618;252.751;283.750;299.645;301.234;326.608;274.842;293.262;284.194;333.014;366.600;399.791;423.189;428.767;466.841;476.636;493.934;523.768;618.369;721.589;834.218;949.118;1,238.700;1,224.096;1,365.373;1,708.460;1,823.052;1,827.637;1,856.721;2,039.127;2,103.588;2,294.118;2,651.474;2,701.112;2,870.504;2,708.770;3,049.704;3,312.949;3,591.026;3,884.732;4,199.012;4,534.338;2021
IDN;Indonesia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;99.296;110.848;113.799;103.149;107.218;107.062;101.220;95.214;107.279;122.582;138.258;154.558;168.280;190.913;213.727;244.227;274.722;260.680;115.323;169.158;179.482;174.507;212.807;255.428;279.556;310.815;396.293;470.144;558.582;577.539;755.256;892.590;919.002;916.646;891.051;860.741;932.066;1,015.488;1,042.711;1,120.042;1,059.638;1,158.783;1,256.282;1,360.257;1,458.742;1,561.954;1,672.542;2020
IRN;Islamic Republic of Iran;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;107.697;111.884;128.136;163.488;172.871;180.301;210.514;283.810;307.885;369.961;588.399;299.168;50.109;65.370;82.434;117.803;161.829;185.835;205.711;273.622;362.717;316.205;129.150;151.897;187.546;224.764;265.479;350.068;405.568;414.013;486.774;580.113;392.295;400.087;433.088;385.023;418.064;445.528;456.590;581.252;635.724;682.859;714.707;739.807;766.087;794.309;824.649;2020
IRQ;Iraq;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;10.469;18.449;25.857;18.936;18.970;15.800;36.642;50.065;65.144;88.833;131.614;111.660;138.517;185.750;218.032;234.638;234.651;177.634;167.716;192.343;216.946;222.434;172.119;190.733;203.292;216.953;230.008;242.946;258.184;2020
IRL;Ireland;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;21.380;20.380;21.268;20.575;19.842;21.123;28.456;33.589;36.797;37.950;48.098;48.738;54.796;51.256;55.725;69.114;75.768;82.783;90.421;99.009;100.136;109.319;128.535;164.488;194.556;211.941;232.257;270.296;275.894;236.871;222.723;237.905;225.185;238.264;258.889;292.037;299.145;337.545;386.689;398.379;418.716;476.663;515.447;545.815;572.851;599.565;627.013;2019
ISR;Israel;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;23.927;25.352;27.171;30.303;28.687;26.663;32.824;39.205;48.565;49.414;58.309;66.144;73.911;74.285;84.797;100.735;110.430;114.979;116.209;117.373;132.704;131.058;121.411;127.329;135.729;142.661;154.157;179.069;216.338;207.498;234.000;261.014;257.173;292.693;310.048;300.123;318.617;352.668;370.456;394.652;402.639;446.708;471.411;495.614;519.391;542.842;566.630;2020
ITA;Italy;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;482.019;437.124;432.001;448.304;442.925;457.397;647.819;813.082;900.829;936.906;1,169.289;1,235.139;1,310.659;1,053.939;1,087.066;1,175.276;1,312.783;1,243.228;1,271.701;1,253.691;1,147.184;1,168.031;1,275.866;1,577.226;1,805.722;1,859.244;1,949.655;2,213.365;2,408.392;2,197.540;2,137.845;2,294.591;2,088.278;2,141.954;2,162.567;1,836.824;1,876.554;1,961.105;2,093.089;2,005.135;1,884.935;2,106.287;2,231.938;2,295.732;2,348.232;2,400.011;2,451.376;2020
JAM;Jamaica;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;2.565;2.817;3.235;2.875;2.119;1.993;2.369;2.672;3.184;3.692;4.663;4.285;4.328;5.440;5.453;6.549;7.394;8.400;8.787;8.887;9.065;9.195;9.719;9.430;10.175;11.233;11.946;12.881;13.743;12.107;13.193;14.413;14.765;14.213;13.865;14.154;14.108;14.755;15.648;15.808;13.948;14.600;15.939;17.010;17.915;18.745;19.604;2019
JPN;Japan;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;1,127.876;1,243.790;1,157.601;1,268.620;1,345.204;1,427.354;2,121.250;2,584.339;3,134.179;3,117.068;3,196.556;3,657.348;3,988.334;4,544.766;4,998.797;5,545.567;4,923.393;4,492.449;4,098.362;4,635.981;4,968.359;4,374.710;4,182.845;4,519.563;4,893.135;4,831.466;4,601.663;4,579.749;5,106.679;5,289.494;5,759.072;6,233.147;6,272.364;5,212.328;4,896.995;4,444.931;5,003.678;4,930.837;5,036.892;5,148.781;5,048.688;5,378.136;5,653.462;5,977.364;6,170.367;6,351.098;6,533.023;2020
JOR;Jordan;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;4.030;4.525;4.830;5.075;5.127;5.157;6.604;6.962;6.522;4.385;4.290;4.481;5.537;5.704;6.391;6.857;7.145;7.472;8.159;8.403;8.725;9.255;9.882;10.514;11.768;12.982;15.527;17.645;22.648;24.538;27.134;29.524;31.679;34.503;36.900;38.642;39.949;41.467;42.993;44.566;43.481;44.979;47.117;49.792;52.721;55.823;59.106;2019
KAZ;Kazakhstan;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2.875;5.152;11.881;16.639;21.035;22.166;22.135;16.870;18.292;22.153;24.637;30.834;43.152;57.125;81.003;104.850;133.442;115.309;148.047;192.626;207.999;236.635;221.416;184.388;137.289;166.806;179.340;181.667;164.792;187.836;198.080;211.422;223.730;236.631;252.133;2020
KEN;Kenya;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;10.099;9.513;9.159;8.470;8.788;8.746;10.387;11.387;11.806;11.705;12.180;11.501;11.327;7.869;9.422;11.944;13.565;13.742;15.739;14.353;14.136;14.536;14.764;16.796;18.064;21.001;25.826;31.959;35.895;37.022;40.000;41.671;50.422;55.125;61.546;64.235;69.190;78.896;87.801;95.410;99.287;106.041;112.750;120.936;130.160;140.399;151.623;2019
KIR;Kiribati;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.042;0.044;0.041;0.038;0.042;0.032;0.031;0.036;0.045;0.044;0.043;0.047;0.048;0.047;0.055;0.056;0.067;0.067;0.066;0.069;0.068;0.063;0.072;0.091;0.103;0.112;0.110;0.133;0.144;0.134;0.157;0.182;0.190;0.186;0.180;0.171;0.178;0.187;0.200;0.198;0.200;0.231;0.243;0.254;0.264;0.274;0.284;2017
KOR;Korea;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;65.368;72.934;78.349;87.761;97.511;101.296;116.836;147.949;199.593;246.929;283.365;330.658;355.516;392.731;463.432;566.595;610.164;570.594;382.855;497.254;576.483;547.743;626.989;702.696;792.532;934.708;1,052.610;1,172.465;1,049.168;943.739;1,143.568;1,253.419;1,278.046;1,370.633;1,484.489;1,466.039;1,499.362;1,623.074;1,725.373;1,646.739;1,630.871;1,806.707;1,885.676;1,967.850;2,052.934;2,137.993;2,220.715;2020
UVK;Kosovo;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2.092;2.509;2.691;3.348;3.621;3.738;3.918;4.743;5.710;5.670;5.841;6.700;6.504;7.074;7.398;6.444;6.717;7.243;7.947;7.953;7.789;8.810;9.586;10.160;10.773;11.380;11.956;2019
KWT;Kuwait;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;28.724;25.249;21.583;20.317;21.457;21.540;17.376;20.817;19.281;23.855;18.293;10.826;19.866;23.996;24.796;27.189;31.492;30.350;25.944;30.123;37.721;34.886;38.135;47.844;59.439;80.807;101.559;114.677;147.402;105.992;115.401;154.020;174.066;174.179;162.695;114.606;109.381;120.687;140.665;134.624;107.936;126.930;129.704;133.066;137.539;143.068;150.158;2019
KGZ;Kyrgyz Republic;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.917;0.665;1.108;1.493;1.822;1.767;1.630;1.242;1.368;1.525;1.606;1.920;2.214;2.459;2.837;3.807;5.139;4.690;4.794;6.198;6.604;7.335;7.467;6.678;6.813;7.703;8.271;8.455;7.471;7.470;7.921;8.417;8.930;9.479;10.006;2019
LAO;Lao P.D.R.;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;1.913;1.118;1.119;2.047;2.930;3.685;2.577;1.815;1.182;1.460;1.742;2.053;2.354;2.652;3.081;3.579;3.726;3.515;1.334;1.415;1.720;1.757;1.844;2.259;2.649;3.049;3.915;4.757;5.948;6.431;7.504;8.963;10.195;11.974;13.266;14.363;15.905;17.056;18.133;18.807;19.078;20.440;21.905;23.462;25.113;26.946;28.895;2019
LVA;Latvia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.693;2.727;4.530;5.407;5.969;6.523;7.162;7.527;7.953;8.352;9.552;11.754;14.406;16.986;21.536;31.050;35.924;26.386;23.911;28.649;28.346;30.442;31.379;27.253;28.064;30.448;34.432;34.059;33.478;37.720;40.965;43.339;45.696;48.110;50.577;2020
LBN;Lebanon;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;4.019;3.841;2.620;3.610;4.268;3.565;2.779;3.253;3.268;2.681;2.800;4.391;5.470;7.432;8.986;10.967;12.820;15.530;17.054;17.168;17.013;17.355;18.831;19.480;21.153;21.497;22.023;24.827;29.119;35.400;38.444;39.927;44.036;46.909;48.134;49.939;51.205;53.141;54.961;52.572;19.126;n/a;n/a;n/a;n/a;n/a;n/a;2018
LSO;Lesotho;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;0.437;0.443;0.369;0.406;0.363;0.290;0.333;0.435;0.494;0.514;0.620;0.703;0.815;0.814;0.859;0.965;0.914;0.963;0.888;0.871;0.847;0.701;0.767;1.109;1.384;1.484;1.519;1.759;1.652;1.937;2.356;2.571;2.465;2.345;2.477;2.207;2.219;2.356;2.320;2.289;2.068;2.458;2.641;2.805;2.922;3.045;3.222;2019
LBR;Liberia;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.864;0.908;0.946;0.714;0.895;0.947;1.110;1.346;1.677;1.769;1.973;2.342;2.673;3.046;3.090;3.088;3.258;3.335;3.264;3.064;3.033;3.370;3.693;3.863;4.144;4.449;4.784;2016
LBY;Libya;Gross domestic product, current prices;U.S. dollars;Billions;See notes for:  Gross domestic product, current prices (National currency).;38.941;33.641;33.541;31.963;29.930;29.440;23.987;22.294;25.067;26.594;30.644;33.908;34.358;30.921;28.796;32.690;35.683;36.531;29.960;35.975;38.271;34.112;20.471;26.186;32.996;47.335;54.963;67.690;73.917;50.808;68.974;31.999;79.759;51.896;24.262;17.216;18.563;30.211;41.432;39.832;21.797;24.267;25.901;27.737;28.724;30.582;32.345;2017
